,url,label
63,['http://t.co/Ex8XeNfe3U'],no-clickbait
64,"['http://t.co/FMJgjnadcL', 'http://t.co/2lbgSruuPh']",no-clickbait
65,"['http://t.co/nYVUKKKXYR', 'http://t.co/9NTsDhFCBQ']",no-clickbait
66,"['http://t.co/lEIFmv4J7y', 'http://t.co/4OF4JuU0RJ']",no-clickbait
67,['http://t.co/5J6NhIxcIu'],no-clickbait
68,"['http://t.co/BFzzeBqGWt', 'http://t.co/qYSPParpA0']",no-clickbait
69,"['http://t.co/u3hkgB0HKc', 'http://t.co/Vv253RYZjX']",no-clickbait
70,['http://t.co/SdnnuUctF2'],clickbait
71,['http://t.co/uOGt4VB9X6'],clickbait
72,"['http://t.co/LZoGEl9daK', 'http://t.co/vmDynTUQSe']",no-clickbait
73,['http://t.co/hSw0DS1V2K'],no-clickbait
74,['http://t.co/qP0m3a9EDC'],no-clickbait
75,['http://t.co/0hDBDQSyv9'],no-clickbait
76,"['http://t.co/gxsOwzq9wV', 'http://t.co/jrX3YZbI0u']",no-clickbait
77,['http://t.co/XXWCcJssOl'],clickbait
78,"['http://t.co/AKkQ0npAij', 'http://t.co/fuSwq5iC8b']",clickbait
79,"['http://t.co/D5wCCnas6o', 'http://t.co/pke3b5rLxp']",no-clickbait
80,['http://t.co/OcgNF0pBzl'],clickbait
81,"['http://t.co/0gNp4UOwMV', 'http://t.co/n5i0P02wzH']",no-clickbait
82,['http://t.co/6fZxfMRZie'],no-clickbait
83,"['http://t.co/knNfvyU1m3', 'http://t.co/GkhAm1pS9O']",no-clickbait
84,"['http://t.co/94gKJKBTgc', 'http://t.co/hWHOofq2cR']",no-clickbait
85,"['http://t.co/v7ABTpJeWG', 'http://t.co/NZY17FrBAd']",no-clickbait
86,"['http://t.co/vNBqfty9DS', 'http://t.co/offYU87JF7']",no-clickbait
87,['http://t.co/Q8ZFMDN7Ly'],no-clickbait
88,['http://t.co/iaxHKfH9lJ'],clickbait
89,"['http://t.co/BR1VR3EFlo', 'http://t.co/RuMxG']",no-clickbait
90,['http://t.co/b46eOPnuN2'],clickbait
91,['http://t.co/UwXooMX7RA'],no-clickbait
92,['http://t.co/fYU9cgJc4D'],no-clickbait
93,"['http://t.co/ucKGEwH5Ci', 'http://t.co/MTsFbJuNhc']",no-clickbait
94,"['http://t.co/JaImn6LFSc', 'http://t.co/FpSuATAJ3B']",no-clickbait
95,"['http://t.co/WZv9rvxtR1', 'http://t.co/s2c6xZKPzP']",no-clickbait
96,"['http://t.co/XRo0OJg89E', 'http://t.co/TN4TnC7tZ2']",clickbait
97,['http://t.co/b1aQL8vlau'],no-clickbait
98,"['http://t.co/mrwdzIfbaL', 'http://t.co/VpNC']",clickbait
99,"['http://t.co/zitvJjmVhQ', 'http://t.co/yWHwXqglZM']",no-clickbait
100,"['http://t.co/5xQPDPcm8q', 'http://t.co/w7kNgP97zn']",no-clickbait
101,"['http://t.co/2ihZGbJYtS', 'http://t.co/btWBJ4sfkw']",no-clickbait
102,['http://t.co/4cNpn92GJ7'],clickbait
103,"['http://t.co/upJ5IJesBC', 'http://t.co/o4QLzMUvRe']",no-clickbait
104,['http://t.co/00hPj9EJsJ'],no-clickbait
105,['http://t.co/fLGyVkErxB'],no-clickbait
106,['http://t.co/3QrZAo1Ie2'],no-clickbait
107,"['http://t.co/gHnkTLWD9F', 'http://t.co/uaI0D5Kulr']",no-clickbait
108,"['http://t.co/JmNBLeXybG', 'http://t.co/wzQ2JejS0S']",no-clickbait
109,"['http://t.co/tIxr2a9fmF', 'http://t.co/VN']",no-clickbait
110,['http://t.co/DFI3Dq9TfR'],no-clickbait
111,"['http://t.co/LrzmF78hDy', 'http://t.co/JhHl']",clickbait
112,"['http://t.co/pJN2OPkRZc', 'http://t.co/p7WMFsSWAV']",no-clickbait
113,"['http://t.co/KQwWzCsIOG', 'http://t.co/gKc0m4rtdO']",no-clickbait
114,"['http://t.co/DDNkVhhECY', 'http://t.co/u4KdU0VmMS']",no-clickbait
115,"['http://t.co/IBSvo39jrJ', 'http://t.co/RKOFrvlpZ0']",no-clickbait
116,"['http://t.co/U6B1P8MgB5', 'http://t.co/RjBKlIhww2']",clickbait
117,"['http://t.co/bfjoZ0AGrV', 'http://t.co/uQ1s8K']",no-clickbait
118,"['http://t.co/NZRHbMhS31', 'http://t.co/msBfbgCXEi']",no-clickbait
119,['http://t.co/ADZqdQn8WI'],clickbait
120,"['http://t.co/kFwHatxaGv', 'http://t.co/46ihFgd7dU']",no-clickbait
121,"['http://t.co/K2eQL6LF0H', 'http://t.co/CkYQTOqjNi']",no-clickbait
122,"['http://t.co/ecEaGryNRN', 'http://t.co/cgK57nx3FE']",no-clickbait
123,"['http://t.co/C36hPjGz10', 'http://t.co/oAJA3x7f2N']",no-clickbait
124,['http://t.co/uF69D0QcIx'],no-clickbait
125,"['http://t.co/E1MFR2FcFn', 'http://t.co/42NV6']",no-clickbait
126,['http://t.co/PkGfr61Bz8'],no-clickbait
127,['http://t.co/OUyUr8gOpz'],no-clickbait
128,['http://t.co/mYAUQ7Yl9q'],no-clickbait
129,['http://t.co/gXxHA73xhq'],no-clickbait
130,"['http://t.co/Ht3SnnoBXo', 'http://t.co/zmeUNXZbF1']",clickbait
131,"['http://t.co/2nMm3LRas0', 'http://t.co/1TniFqpLz2']",clickbait
132,['http://t.co/COWprOR4KY'],no-clickbait
133,"['http://t.co/0bKwHwug3S', 'http://t.co/O6nwx5SLPt']",no-clickbait
134,['http://t.co/V06K250TgN'],no-clickbait
135,"['http://t.co/itzqFuqsEL', 'http://t.co/c54QFjzpe1']",no-clickbait
136,"['http://t.co/xN4hTchb72', 'http://t.co/DYn9xoY3Kt']",no-clickbait
137,['http://t.co/rXQkK5OjxI'],no-clickbait
138,"['http://t.co/5VqNnNh2Dr', 'http://t.co/LUU6l302xn']",no-clickbait
139,['http://t.co/DHm7g9uXOM'],no-clickbait
140,"['http://t.co/uQtyx76myY', 'http://t.co/8lFexo7C4p']",clickbait
141,"['http://t.co/QABEAwIW9Y', 'http://t.co/8kjaPBsRLF']",no-clickbait
142,"['http://t.co/2JbmMmKgMp', 'http://t.co/PuZiJDu3eF']",no-clickbait
143,['http://t.co/k6ai8qeky4'],clickbait
144,['http://t.co/3YDlZ99w8x'],no-clickbait
145,['http://t.co/sZT11iBrjz'],no-clickbait
146,"['http://t.co/rJWxwJi4uH', 'http://t.co/AdLQ1E76c9']",no-clickbait
147,['http://t.co/vMLX5bC4NC'],clickbait
148,"['http://t.co/QU1cwbTl0l', 'http://t.co/iy5pBSDaxj']",no-clickbait
149,"['http://t.co/VvgutS387d', 'http://t.co/8go9yWnfWy']",no-clickbait
151,['http://t.co/X0lsL8O7WD'],no-clickbait
152,"['http://t.co/fFif5VULaM', 'http://t.co/T9QmMxSiLc']",no-clickbait
153,['http://t.co/ChQUkUeeTX'],no-clickbait
154,"['http://t.co/tXi5Jx88pO', 'http://t.co/wmAk1B0owc']",no-clickbait
155,['http://t.co/fVtccp0wLp'],no-clickbait
156,"['http://t.co/OWqsmtnw0v', 'http://t.co/qKzsCw8Ok3']",clickbait
157,"['http://t.co/E9x7EXE8Aw', 'http://t.co/n9d4GeF7mO']",no-clickbait
158,"['http://t.co/A9Y8fWOQFU', 'http://t.co/ZgfKrS9Dho']",no-clickbait
159,['http://t.co/zTPtbl2Ts6'],no-clickbait
160,"['http://t.co/L2K3QGYjct', 'http://t.co/qNM3CjrNo0']",no-clickbait
161,['http://t.co/ZCwe3oy1mG'],no-clickbait
162,"['http://t.co/uC2DkjCd2w', 'http://t.co/1YPEyCdoQW']",clickbait
163,['http://t.co/ZT4sHRCxzD'],clickbait
164,"['http://t.co/2wQzsXD0yH', 'http://t.co']",clickbait
165,['http://t.co/EFuB1zDHIx'],no-clickbait
166,"['http://t.co/ITLRDLm7lS', 'http://t.co/RBD0H2FWrn']",clickbait
167,"['http://t.co/Nyt1mHyghG', 'http://t.co/XwvBdncNVr']",clickbait
168,['http://t.co/E1nQwaWnti'],no-clickbait
169,['http://t.co/Jme2mXvHYk'],no-clickbait
170,"['http://t.co/MWu8B7azDe', 'http://t.co/AdiipArIwX']",clickbait
171,['http://t.co/K7m9F1Jtj9'],no-clickbait
172,['http://t.co/Nh0bc812pP'],no-clickbait
173,"['http://t.co/7HEu27CPHB', 'http://t.co/Ucictb7AJu']",no-clickbait
174,['http://t.co/aQnVUOPwpa'],no-clickbait
175,"['http://t.co/I4obyUCV30', 'http://t.co/rOsIC9FEJr']",no-clickbait
176,[],no-clickbait
177,[],no-clickbait
178,"['http://t.co/zffXWURmxQ', 'http://t.co']",no-clickbait
179,['http://t.co/CQP0xaxGsd'],clickbait
180,['http://t.co/DD6wnc9'],no-clickbait
181,['http://t.co/g6wCKJ53eP'],no-clickbait
182,"['http://t.co/k2hzeiVfm1', 'http://t.co/P1pf2Najfg']",no-clickbait
183,['http://t.co/a6Hhc5mYTz'],no-clickbait
184,"['http://t.co/81igIDuhEY', 'http://t.co/lYbE7NiH1O']",no-clickbait
185,"['http://t.co/KmmTyAjb9k', 'https://t.co/6BvMle3lZ5']",clickbait
186,"['http://t.co/R4juY4LiCg', 'http://t.co/GWBlg93nvH']",clickbait
187,['http://t.co/vJWgAK9Bp2'],no-clickbait
188,"['http://t.co/0SK5K07jDj', 'http://t.co/kILYFnqy10']",no-clickbait
189,['http://t.co/6JzPjSgQso'],no-clickbait
190,"['http://t.co/cv0DYqffCN', 'http://t.co/tuE']",no-clickbait
191,['http://t.co/RxjTQWtTvu'],no-clickbait
192,"['http://t.co/uNB1S1pCXQ', 'http://t.co/qTXkXA68B4']",no-clickbait
193,['http://t.co/5u2u0MB7Fz'],no-clickbait
194,"['http://t.co/NgHaRqooYW', 'http://t.co/ImvuNlvjid']",no-clickbait
195,"['http://t.co/F5ioCui2ba', 'http://t.co/WJGYO7041B']",no-clickbait
196,['https://t.co/SJyim5aZ9w'],no-clickbait
197,[],no-clickbait
198,"['http://t.co/nYVUKL2znr', 'http://t.co/9NTsDhFCBQ']",no-clickbait
199,['http://t.co/'],no-clickbait
200,"['http://t.co/6pnJYphCtj', 'http://t.co/fmRAvbAY7z']",no-clickbait
201,['http://t.co/6G9FSCeLOI'],no-clickbait
202,"['http://t.co/tsGLPMCV9Q', 'http://t.co/l3FCKaC']",no-clickbait
203,['https://t.co/OtRd08Yk0p'],no-clickbait
204,"['http://t.co/o0BeM3WyMm', 'http://t.co/Ef7YDQmPiZ']",no-clickbait
205,"['http://t.co/Rhj5q6i3oB', 'http://t.co/BEj8TNkIqb']",clickbait
206,"['http://t.co/4YM6FJzuBX', 'http://t.co/8TDBsUDZpD']",no-clickbait
207,"['http://t.co/uTHHC3OJ7a', 'http://t.co/CS7L9JO1AE']",no-clickbait
208,['http://t.co/mT3uRqw4yi'],no-clickbait
209,"['http://t.co/9lLDa4gtgf', 'http://t.co/izZEaI63Bn']",no-clickbait
210,"['http://t.co/MDALTof4WB', 'http://t.co/XDpWhoSRPR']",no-clickbait
211,['http://t.co/ePWjc0EJj8'],no-clickbait
212,"['http://t.co/ZFSQlXjGJb', 'http://t.co/6eNbcD5GT5']",no-clickbait
213,[],no-clickbait
214,['http://t.co/wNQY70FViQ'],no-clickbait
215,"['http://t.co/9WPw4FZhz3', 'http://t.co/1CS2YMgqDb']",clickbait
217,"['http://t.co/vQXZOzHpjo', 'http://t.co/8iv8sUyKFg']",clickbait
218,"['http://t.co/cfvMTNH4Dj', 'http://t.co/ftkLYF4SXN']",no-clickbait
219,"['http://t.co/aF6liL7X37', 'http://t.co/cnlQnWiqAa']",no-clickbait
220,['http://t.co/ABFFjkysX6'],no-clickbait
221,['https://t.co/SJyim5aZ9w'],no-clickbait
222,['http://t.co/ljqAra4Pzj'],no-clickbait
223,['http://t.co/GwsBxidMmp'],no-clickbait
224,['http://t.co/rr4LG0LbAd'],no-clickbait
225,"['http://t.co/qEcsKN7QOX', 'http://t.co/aE1ylaQPG4']",no-clickbait
226,"['http://t.co/DY9b1JbNx0', 'http://t.co/aIEN9VGIKJ']",no-clickbait
227,"['http://t.co/62AvY6a4fX', 'http://t.co/4B9tz4z7Jk']",no-clickbait
228,"['http://t.co/HohS3OQQzY', 'http://t.co/BSJQ15UlfW']",no-clickbait
229,['http://t.co/RVPmtQ1Srm'],no-clickbait
230,"['http://t.co/3zuaqIKVOL', 'http://t.co/kZYdda5l0g']",no-clickbait
231,"['http://t.co/30MNXdQgiC', 'http://t.co/iF4XpIaX1a']",no-clickbait
232,"['http://t.co/ACW2tnVaoG', 'http://t.co/KUIa0DFVgl']",clickbait
233,['http://t.co/OrcdR7Lr9B'],clickbait
234,"['http://t.co/VYDBD6FU0D', 'http://t.co']",no-clickbait
235,"['http://t.co/JOKgFsBEiu', 'http://t.co/jj0qw6YEpz']",no-clickbait
236,"['http://t.co/w7rgXYlJB7', 'http://t.co/nKA3ucsPMN']",no-clickbait
237,['http://t.co/PuuWYughJw'],no-clickbait
239,"['http://t.co/sgMsxNtOvb', 'http://t.co/M']",no-clickbait
240,"['http://t.co/usnqfOBBQQ', 'http://t.co/lGj']",no-clickbait
241,"['http://t.co/Q8jAlYSZn8', 'http://t.co/gwONwXbXPa']",no-clickbait
242,['http://t.co/l3yffk7Knt'],no-clickbait
243,"['http://t.co/ljxQwlc5KS', 'http://t.co/LqfF2ffHJB']",no-clickbait
244,['http://t.co/kWqaagGHLS'],no-clickbait
245,"['http://t.co/eU3M58Yd6t', 'http://t.co/P40CBA4oc4']",no-clickbait
246,['http://t.co/T5I5SYo'],clickbait
247,"['http://t.co/51SddSZdiu', 'http://t.co/EA5aOwhXHl']",no-clickbait
248,"['http://t.co/HjfYGjCvPz', 'http://t.co/5pQaG6ZQyB']",no-clickbait
249,"['http://t.co/SAduTNWILm', 'http://t.co/WtzuXWkymM']",no-clickbait
250,['http://t.co/sYX7Wi4JiL'],no-clickbait
251,"['http://t.co/iVo8maQ27l', 'http://t.co/PatJ70F33F']",no-clickbait
252,['http://t.co/Cp7qBuzdRh'],no-clickbait
253,['http://t.co/ojg1F7OrSm'],no-clickbait
254,"['http://t.co/BEfWh8JtgS', 'http://t.co/ji1tkdvBPN']",clickbait
255,['http://t.co/ahMGJzzRmE'],no-clickbait
256,"['http://t.co/qmFxp1fD9O', 'http://t.co/PXUn9f9mwO']",clickbait
257,"['http://t.co/qBbkt2peaZ', 'http://t.co/U43fkA0RBz']",no-clickbait
258,"['http://t.co/UlKMYEeHEP', 'http://t.co/2yDZfgqMdw']",no-clickbait
259,['http://t.co/7A7gDuhfFZ'],no-clickbait
260,[],clickbait
261,['https://t.co/0uZm11RESC'],no-clickbait
262,"['http://t.co/qMMXGNEf97', 'http://t.co/N08ERoWiiV']",no-clickbait
263,"['http://t.co/FCpzBSD1Kh', 'http://t.co/qnBaV76U1D']",no-clickbait
264,['http://t.co/ijDDPK5ZAG'],no-clickbait
265,"['http://t.co/JC6YGrYPeN', 'http://t.co/RaFT31oJwB']",no-clickbait
266,['http://t.co/usnqfOBBQQ'],clickbait
267,['http://t.co/ujCdjKNTLD'],clickbait
268,[],clickbait
269,"['http://t.co/08RyYYL0y1', 'http://t.co/CmZnyDE5LY']",no-clickbait
270,['http://t.co/qVesBhvHop'],no-clickbait
271,['http://t.co/SqGoB9T0Nc'],no-clickbait
272,"['http://t.co/a3i7kKWtHy', 'http://t.co/zbg0P0rJh6']",clickbait
273,"['http://t.co/qBTfywJVeO', 'http://t.co/M3Ht0Z7Cxw']",no-clickbait
274,"['http://t.co/naU6I5nLzs', 'http://t.co/ibmowuvGwz']",no-clickbait
275,['http://t.co/OITJJQApBi'],no-clickbait
276,"['http://t.co/81igIDuhEY', 'http://t.co/lYbE7NiH1O']",no-clickbait
278,"['http://t.co/3ny2pu6tlL', 'http://t.co/KTZdPvng99']",no-clickbait
279,"['http://t.co/TjMjxfbtGt', 'http://t.co/wEFfyYxnBt']",no-clickbait
280,"['http://t.co/oYmlqaFpTI', 'http://t.co/7']",clickbait
281,"['http://t.co/Q3PLxk6mBQ', 'http://t.co/EwrxZjhKHv']",no-clickbait
282,"['http://t.co/2Ia6EjkRU9', 'http://t.co/KqI4I34Mh9']",clickbait
283,"['http://t.co/j0hgIx17cs', 'http://t.co/JZBV85qW']",clickbait
284,['http://t.co/FMHOS67HeF'],no-clickbait
285,"['http://t.co/dXqtcKZOOF', 'http://t.co/vxN3d3NhXt']",no-clickbait
286,"['http://t.co/rw0coDULZB', 'http://t.co/I1cJFAuU5q']",no-clickbait
287,['http://t.co/wLdTwyMwg1'],no-clickbait
288,"['http://t.co/5jXldpdvao', 'http://t.co/hxKWdse4Wa']",no-clickbait
289,['http://t.co/E7S0ShzZj6'],clickbait
290,"['http://t.co/SFREj9Y7EE', 'http://t.co/1msiGvSuEb']",clickbait
291,"['http://t.co/mYKLgLrvFG', 'http://t.co/ZyY9GH4WlL']",no-clickbait
292,"['http://t.co/PzGSilYGsn', 'http://t.co/CNJsoJeccN']",no-clickbait
293,['http://t.co/YCcyp8Qj8P'],no-clickbait
294,['http://t.co/ypdqG0X3EB'],clickbait
295,"['http://t.co/SRz8Gz9MF2', 'http://t.co/ARRXtPLJqv']",no-clickbait
296,['http://t.co/Gjh31rYCkS'],no-clickbait
297,['http://t.co/QsazkvtdkM'],no-clickbait
298,['http://t.co/g7VviRJ6L8'],no-clickbait
299,['http://t.co/z2WsDb'],no-clickbait
300,"['http://t.co/H79KgqygU0', 'http://t.co/buzoS7ZNuS']",clickbait
301,['http://t.co/Eu2pxOVUKw'],clickbait
302,['http://t.co/oTdDwYvbyZ'],no-clickbait
303,['http://t.co/nUkHrBTxYw'],no-clickbait
304,['http://t.co/yQBl7MURCr'],no-clickbait
305,"['http://t.co/IAaJHqT7pe', 'http://t.co/EMepgCzqyN']",clickbait
306,"['http://t.co/VSGUSgH2DY', 'http://t.co/dO7K7gbkLW']",no-clickbait
307,"['http://t.co/T4JbCQnT6f', 'http://t.co/OOFmqqzRZK']",no-clickbait
309,"['http://t.co/9GEHuzTYVm', 'http://t.co/eiwhg6EvDx']",no-clickbait
310,"['http://t.co/gSCrDKoMiQ', 'http://t.co/uamPzr3USP']",clickbait
311,"['http://t.co/3fIcmJTyEx', 'http://t.co/MqJcazHgGF']",no-clickbait
312,['http://t.co/yYXm4Z7N72'],no-clickbait
313,"['https://t.co/5MuRqw2hCP', 'http://t.co/IN4gNQ8Zz1']",clickbait
314,['http://t.co/JkMiXlwSZV'],no-clickbait
315,['http://t.co/PkuDdIHF8N'],no-clickbait
316,['http://t.co/hIWcsgs1io'],no-clickbait
317,"['http://t.co/6M6D8qbVRZ', 'http://t.co/5gLb3Xph1B']",no-clickbait
318,['http://t.co/6XBQCYZCAJ'],clickbait
319,"['http://t.co/VsAMk5tWqq', 'http://t.co/9']",no-clickbait
320,['http://t.co/UEYzAcdIH6'],no-clickbait
321,['http://t.co/Z9ZvXGF4wF'],no-clickbait
322,['http://t.co/HNGmt8zcqU'],no-clickbait
323,['http://t.co/FiQp9xqOsn'],clickbait
324,['https://t.co/wDx2CiLMD0'],no-clickbait
325,"['http://t.co/vaN6r19QkE', 'http://t.co/bCMJDplnoN']",no-clickbait
326,"['http://t.co/7h9HXMjug5', 'http://t.co/3vMhEAkVwh']",no-clickbait
327,"['http://t.co/KLYI0yjObR', 'http://t.co/VJG3yyFKnJ']",no-clickbait
328,['http://t.co/cGPuqMOFaL'],clickbait
329,"['http://t.co/0Ie5kauOh2', 'http://t.co/Od0fre8EGf']",no-clickbait
330,"['http://t.co/uSfIF1r6TO', 'http://t.co/xj6QHXyvcf']",no-clickbait
331,"['http://t.co/B76EhyhhMC', 'http://t.co/c63rzURiMZ']",no-clickbait
332,['http://t.co/W1DgghcvLU'],no-clickbait
333,"['http://t.co/BuKe3QeX9M', 'http://t.co/NoFpaINIJc']",no-clickbait
334,['http://t.co/pPtgjXpVGd'],no-clickbait
335,"['http://t.co/VCIip69Jex', 'http://t.co/BU1J3fpAbT']",no-clickbait
336,['http://t.co/31XE2P0rXd'],no-clickbait
337,['http://t.co/UrPDX0JHAW'],no-clickbait
338,"['http://t.co/IOlyBJw3Ly', 'http://t.co/YIH59yAIN6']",no-clickbait
339,['http://t.co/OFVcnnU81i'],no-clickbait
340,['http://t.co/VNtBkwFkql'],no-clickbait
341,"['http://t.co/c4Ubxdh0Wu', 'http://t.co/XnnAbTDsyx']",clickbait
342,['http://t.co/Gr5dR2cD85'],no-clickbait
343,['http://t.co/tmbjC2pIaH'],no-clickbait
344,"['http://t.co/4dJ7gcl39M', 'http://t.co/MdY3Dndzx6']",no-clickbait
345,"['http://t.co/jdJXT74qZx', 'http://t.co/UE6HiTrfID']",no-clickbait
346,"['http://t.co/uad5WgIZf4', 'http://t.co/6MGYK2hnbX']",no-clickbait
347,"['http://t.co/GuN9a3PQST', 'http://t.co/CUhT4cykJ2']",no-clickbait
348,['http://t.co/zJYkfift2m'],no-clickbait
349,['http://t.co/YPzkAUr4ek'],no-clickbait
350,['http://t.co/ZAyTt8By7F'],clickbait
351,['http://t.co/zb9sIg2EO2'],no-clickbait
352,"['http://t.co/fsTdtSaTnU', 'http://t.co/3YBUBkSyre']",no-clickbait
353,['http://t.co/bEN8xkwK8Q'],clickbait
354,['http://t.co/3Ka8mrsRkt'],clickbait
355,['http://t.co/29qEdeBu0B'],no-clickbait
356,['http://t.co/dWbLIM4lE8'],clickbait
357,['https://t.co/bhE9wGs1iP'],no-clickbait
358,"['http://t.co/xdA6Wlwgae', 'http://t.co/YalMxDIKKe']",no-clickbait
359,['http://t.co/b4JR1IIs6G'],clickbait
360,"['http://t.co/8FU1cbbLXP', 'http://t.co/RpbkiEJAV9']",no-clickbait
361,"['http://t.co/ePpaLVRBXw', 'http://t.co/rxRs6RR6oD']",no-clickbait
362,"['http://t.co/qUOud2m9iC', 'http://t.co/etHf1kdW1Y']",no-clickbait
363,['http://t.co/lyZanbT1nY'],no-clickbait
364,"['http://t.co/lqRzZXWL0X', 'http://t.co/KflKdGueAG']",no-clickbait
365,"['http://t.co/KDDswJ0xbP', 'http://t.co/j3nLtxQuoY']",no-clickbait
366,"['http://t.co/SZ7R7i53Wg', 'http://t.co/O']",no-clickbait
367,"['http://t.co/6M6D8qbVRZ', 'http://t.co/5gLb3Xph1B']",no-clickbait
368,"['http://t.co/pjhTKBQEnO', 'http://t.co/uh7JOBxChQ']",clickbait
369,['http://t.co/ft6PSL7hnk'],no-clickbait
370,['http://t.co/l0WEPWvcbo'],no-clickbait
371,['http://t.co/WkzvewHRWT'],no-clickbait
372,"['http://t.co/AI5sFeFfQ9', 'http://t.co/DAjTccymPX']",no-clickbait
373,"['http://t.co/g5k1Cb4B5u', 'http://t.co/zKjzTxlcYk']",clickbait
374,"['http://t.co/noQGg9Tkfs', 'http://t.co/GjQ5Uov7Bz']",no-clickbait
375,"['http://t.co/xbUTIoNhS1', 'http://t.co/54b5ApSaNq']",clickbait
376,['http://t.co/c0SnXcO76X'],no-clickbait
377,"['http://t.co/4i8BWlMwwz', 'http://t.co/xOBjyyPanI']",no-clickbait
378,['http://t.co/5ovcSgJGWC'],clickbait
